Cesta,Lokacija,Smer,Št. vozil [N/h],Hitrost [km/h],Razmik [s],Zasedenost [%],Čas,Stanje
,smer LJ (p)7081185.35.101.06.2026 10:00:00Povečan promet,smer LJ (p),708,118,5.3,5.1,01.06.2026 10:00:00,Povečan promet
,smer MB (v)7081005.28.801.06.2026 10:00:00Povečan promet,smer MB (v),708,100,5.2,8.8,01.06.2026 10:00:00,Povečan promet
,smer MB (p)4081258.92.701.06.2026 10:00:00Normalen promet,smer MB (p),408,125,8.9,2.7,01.06.2026 10:00:00,Normalen promet
AC-A1,Ptujska ACMaribor - Slivnica (v)768994.68.901.06.2026 10:00:00Zgoščen promet,Maribor - Slivnica (v),768,99,4.6,8.9,01.06.2026 10:00:00,Zgoščen promet
,Maribor - Slivnica (p)5881236.74.101.06.2026 10:00:00Povečan promet,Maribor - Slivnica (p),588,123,6.7,4.1,01.06.2026 10:00:00,Povečan promet
,Slivnica - Maribor (v)696904.910.901.06.2026 10:00:00Zgoščen promet,Slivnica - Maribor (v),696,90,4.9,10.9,01.06.2026 10:00:00,Zgoščen promet
,Slivnica - Maribor (p)4081178.83.101.06.2026 10:00:00Normalen promet,Slivnica - Maribor (p),408,117,8.8,3.1,01.06.2026 10:00:00,Normalen promet
AC-A1,Priključek Dramljeizvoz CE2524311.35.401.06.2026 10:00:00Normalen promet,izvoz CE,252,43,11.3,5.4,01.06.2026 10:00:00,Normalen promet
,izvoz MB845150.32.001.06.2026 10:00:00Normalen promet,izvoz MB,84,51,50.3,2.0,01.06.2026 10:00:00,Normalen promet
,uvoz CE1564921.03.601.06.2026 10:00:00Normalen promet,uvoz CE,156,49,21.0,3.6,01.06.2026 10:00:00,Normalen promet
,uvoz MB6047104.01.501.06.2026 10:00:00Normalen promet,uvoz MB,60,47,104.0,1.5,01.06.2026 10:00:00,Normalen promet
AC-A1,Priključek Framizvoz CE842943.44.801.06.2026 10:00:00Normalen promet,izvoz CE,84,29,43.4,4.8,01.06.2026 10:00:00,Normalen promet
,izvoz MB2044019.24.901.06.2026 10:00:00Normalen promet,izvoz MB,204,40,19.2,4.9,01.06.2026 10:00:00,Normalen promet
,uvoz CE964033.43.501.06.2026 10:00:00Normalen promet,uvoz CE,96,40,33.4,3.5,01.06.2026 10:00:00,Normalen promet
,uvoz MB2643813.88.001.06.2026 10:00:00Normalen promet,uvoz MB,264,38,13.8,8.0,01.06.2026 10:00:00,Normalen promet
AC-A1,Drenov Grič ACBrezovica - Vrhnika (v)984853.615.401.06.2026 10:00:00Zgoščen promet,Brezovica - Vrhnika (v),984,85,3.6,15.4,01.06.2026 10:00:00,Zgoščen promet
