Cesta,Lokacija,Smer,Št. vozil [N/h],Hitrost [km/h],Razmik [s],Zasedenost [%],Čas,Stanje
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 01:45:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 01:45:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),12,138,794.2,0.1,05.06.2026 01:45:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),144,108,32.2,1.7,05.06.2026 01:45:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 01:50:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 01:50:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),12,118,497.2,0.1,05.06.2026 01:50:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),132,105,27.4,1.8,05.06.2026 01:50:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 01:55:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 01:55:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),0,0,0.0,0.0,05.06.2026 01:55:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),84,98,33.0,1.2,05.06.2026 01:55:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 02:00:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 02:00:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),0,0,0.0,0.0,05.06.2026 02:00:00,Ni prometa
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),156,99,27.5,2.1,05.06.2026 02:00:00,Normalen promet
